Date,Dangote_cement,Mtn
05/07/2021,211.6,162
05/06/2021,211.6,162
05/05/2021,217,169.9
05/04/2021,217,174
04/30/21,217,174.9
04/29/21,220,171.5
04/28/21,204,165
04/27/21,220,165
04/26/21,220,165
04/23/21,220,165
04/22/21,220,165
04/21/21,220,165
04/20/21,220,165
04/19/21,220,163.3
04/16/21,220,163
04/15/21,215,161
04/14/21,215,161
04/13/21,215,160
04/12/2021,215,163.9
04/09/2021,215,163.9
04/08/2021,215,162
04/07/2021,215,162
04/06/2021,215,160.2
04/01/2021,215,160.2
03/31/21,215,160.2
03/30/21,215,165
03/29/21,224,165
03/26/21,225,160
03/25/21,225,163
03/24/21,225,161
03/23/21,220,157.2
03/22/21,220,157
03/19/21,220,157
03/18/21,227.8,159.9
03/17/21,227.8,159.9
03/16/21,227.8,159.9
03/15/21,220,158
03/12/2021,220,158
03/11/2021,220,160
03/10/2021,228,160
03/09/2021,220,160
03/08/2021,220,170
03/05/2021,220,170
03/04/2021,220,170
03/03/2021,220,170
03/02/2021,220,174
03/01/2021,220,174
02/26/21,220,174
02/25/21,220,179.9
02/24/21,220,179.9
02/23/21,220,180
02/22/21,220,180
02/19/21,220,180
02/18/21,220,180
02/17/21,220,181.7
02/16/21,220,180
02/15/21,220,180
02/12/2021,220,182
02/11/2021,228,182.9
02/10/2021,213,180
02/09/2021,230,180
02/08/2021,230,180
02/05/2021,230,180
02/04/2021,230,181
02/03/2021,236,181
02/02/2021,236,181
02/01/2021,236,181
01/29/21,236,181
01/28/21,236,175
01/27/21,236,175
01/26/21,236,170.9
01/25/21,236,170
01/22/21,234,170
01/21/21,234,170
01/20/21,234.5,170.2
01/19/21,234.6,170
01/18/21,234.6,170
01/15/21,237,170
01/14/21,237,168
01/13/21,230,165
01/12/2021,230,165
01/11/2021,225,165.2
01/08/2021,225,165.2
01/07/2021,244.9,165.2
01/06/2021,244.9,165.2
01/05/2021,244.9,165.2
01/04/2021,244.9,169.9
12/31/20,244.9,169.9
12/30/20,245,160
12/29/20,245,160
12/24/20,245,160
12/23/20,245,160
12/22/20,245,160
12/21/20,230.4,160
12/18/20,209.5,160
12/17/20,200,155
12/16/20,195,155
12/15/20,195,155
12/14/20,188,155
12/11/2020,183,155
12/10/2020,199,155
12/09/2020,199,156.2
12/08/2020,199,156.2
12/07/2020,199,156.2
12/04/2020,199,156.2
12/03/2020,205,156.2
12/02/2020,205,155
12/01/2020,205,155
11/30/20,205,155.2
11/27/20,205,155
11/26/20,205,153
11/25/20,205,153
11/24/20,199.8,153
11/23/20,199.8,153
11/20/20,193.2,153
11/19/20,195,155
11/18/20,195,155
11/17/20,187.1,155
11/16/20,200,155
11/13/20,200,155
11/12/2020,200,162
11/11/2020,185,160
11/10/2020,185,156.2
11/09/2020,185,150.1
11/06/2020,174.5,144
11/05/2020,169,144
11/04/2020,169,144
11/03/2020,169,144
11/02/2020,160,144
10/30/20,160,144
10/28/20,155.3,140
10/27/20,152,140
10/26/20,152,140
10/23/20,151,140
10/22/20,150,140
10/21/20,150,138
10/20/20,150,140
10/19/20,150,140
10/16/20,150,140
10/15/20,150,140
10/14/20,150,140
10/13/20,150,140
10/12/2020,150,140
10/09/2020,150,140.5
10/08/2020,150.5,140.5
10/07/2020,158,140.5
10/06/2020,158.2,142.7
10/05/2020,144,135
10/02/2020,144,130
09/30/20,142.9,129
09/29/20,139,127.5
09/28/20,139,126.5
09/25/20,139,124
09/24/20,135.9,124
09/23/20,134.7,123.9
09/22/20,134.7,123
09/21/20,135,120.1
09/18/20,135,120
09/17/20,135,120
09/16/20,135,120
09/15/20,135,120
09/14/20,135,120
09/11/2020,134,120
09/10/2020,134,120
09/09/2020,134,119.5
09/08/2020,134,119.5
09/07/2020,134,118.6
09/04/2020,134,118.6
09/03/2020,134,118.6
09/02/2020,134,118
09/01/2020,134,118
08/31/20,134.9,117.8
08/28/20,134.2,117.8
08/27/20,134.2,117.8
08/26/20,135,117.8
08/25/20,135,117.8
08/24/20,135,117.8
08/21/20,135,117.8
08/20/20,135,117.8
08/19/20,135,117.8
08/18/20,135,117.8
08/17/20,135,117.8
08/14/20,136,119
08/13/20,136,119.5
08/12/2020,136,118.5
08/11/2020,136,118.5
08/10/2020,141.8,118.5
08/07/2020,141.8,118.5
08/06/2020,141.8,118.5
08/05/2020,141.8,118
08/04/2020,141.8,118
08/03/2020,141.8,117.9
07/29/20,141.8,117.9
07/28/20,141.8,118
07/27/20,141.8,120
07/24/20,134.2,120
07/23/20,134.2,120
